DEFECTID,XREL,YREL,DEFECTAREA,DSIZE
355,192157620,275540811,0.0,53
356,219986665,37787836,0.0,51
357,223486864,260573208,0.0,52
358,173606725,280658037,0.0,51
359,83060105,264695554,0.0,52
360,206325466,270765548,0.0,51
361,118321260,279438546,0.0,51
362,43897899,231719797,0.0,51
363,283901418,138917881,0.0,51
364,90749373,270722622,0.0,51
365,76120098,262636161,0.0,51
366,20503489,110215839,0.0,52
367,183038407,18317065,0.0,52
368,15016009,166737761,0.0,52
369,24846893,96893977,0.0,51
370,105606400,278956488,0.0,52
371,229406864,39392353,0.0,51
372,282908996,181051549,0.0,51
373,16589500,120736996,0.0,53
374,205746354,275162955,0.0,51
375,80127427,268244448,0.0,52
376,180036548,16165312,0.0,50
377,166334822,286715240,0.0,51
378,117161847,284504462,0.0,51
379,28614759,83901320,0.0,52
380,244064970,252041805,0.0,51
381,100679314,280287382,0.0,52
382,217163773,272088090,0.0,52
383,32008634,76121776,0.0,52
384,14619875,184899181,0.0,51
385,282507906,103746914,0.0,51
386,279938017,204123730,0.0,51
387,270962250,78283159,0.0,52
388,9255208,148423320,0.0,51
389,42607649,59105405,0.0,50
390,9645612,138463219,0.0,51
391,31844800,72950889,0.0,51
392,49408696,249350710,0.0,52
393,27730119,79383248,0.0,51
394,261737987,236771588,0.0,50
395,69939728,266811656,0.0,51
396,57302763,258397332,0.0,52
397,283212510,201310246,0.0,51
398,67459245,266690002,0.0,51
399,16565828,95879565,0.0,50
400,260240462,243948943,0.0,51
401,8761080,183541593,0.0,52
402,279810601,84477238,0.0,51
403,25746003,225907972,0.0,52
404,135498975,295098395,0.0,52
405,104526728,11203914,0.0,51
406,287859363,100288516,0.0,52
407,247586318,259640338,0.0,51
408,11584724,199732310,0.0,52
409,131292467,296146691,0.0,51
410,87003963,283203984,0.0,52
411,269028102,62699660,0.0,51
412,290417193,196040142,0.0,52
413,2358571,149566751,0.0,51
414,246990486,261750355,0.0,52
415,63174083,30517536,0.0,50
416,173493514,45146006,0.0,56
417,114400493,47144241,0.0,56
418,171245737,43104326,0.0,55
419,61659457,85617004,0.0,58
420,39586235,142666165,0.0,57
421,69379831,226623336,0.0,56
422,117487685,258458199,0.0,55
423,106320279,254446547,0.0,57
424,112621294,42807875,0.0,56
425,94458423,249424855,0.0,56
426,202146594,48084556,0.0,56
427,85366019,52983477,0.0,55
428,87160398,47763586,0.0,55
429,62568990,232787766,0.0,56
430,34338626,187268392,0.0,58
431,56791514,71889063,0.0,56
432,42955068,208752989,0.0,56
433,66950094,60157091,0.0,55
434,157468108,27636848,0.0,58
435,27092221,153849673,0.0,56
436,266449367,191095453,0.0,58
437,52028866,226831637,0.0,57
438,58597634,65031629,0.0,56
439,50783427,226738430,0.0,56
440,115453863,270740060,0.0,58
441,74160313,49639602,0.0,57
442,44383908,77393178,0.0,56
443,272161136,191063899,0.0,57
444,160731792,18324463,0.0,56
445,17456353,155331964,0.0,58
446,248319377,57114272,0.0,55
447,15602080,130217860,0.0,56
448,159074605,286365160,0.0,55
449,216590473,269867048,0.0,56
450,22979658,201821226,0.0,55
451,47622713,242362208,0.0,55
452,21717766,200880606,0.0,57
453,73373860,265781320,0.0,55
454,199664381,19882286,0.0,56
455,32327211,71106769,0.0,57
456,38712318,240150893,0.0,56
457,16782295,95190173,0.0,57
458,167182768,294982596,0.0,57
459,25520151,226870308,0.0,55
